Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A024FRL9	A0A024FRL9	BLANDM-12	BLANDM-12					32353499:0114:LC
A0A024L327	A0A024L327	YDIU	YDIU	BMT91_02235|BVCMSHHP001_02698|CI694_12210|D9G69_02880|DAH34_03285|E2127_19880|E2129_01950|E4K61_02490|EI021_02785|EXX71_03705|FORC82_2205|FWK02_14790|G5688_21990|GQM17_06865|HVV53_05055|NCTC9073_05692|PGD_01529|SAMEA3472080_01323|WP4S18E08_21300	BMT91_02235|BVCMSHHP001_02698|CI694_12210|D9G69_02880|DAH34_03285|E2127_19880|E2129_01950|E4K61_02490|EI021_02785|EXX71_03705|FORC82_2205|FWK02_14790|G5688_21990|GQM17_06865|HVV53_05055|NCTC9073_05692|PGD_01529|SAMEA3472080_01323|WP4S18E08_21300			PDB_6LNA:0114:LC
A0A024LB08	P04993	RECB_1	RECD	AUQ13_17740|BANRA_01341|BANRA_04284|BHS81_16925|BMA87_18895|BUE81_06765|BVCMS2454_02089|BVCMSHHP001_01116|BVCMSHHP056_02020|BVCMSSINP011_00475|BVCMSSIP044_01651|C5F73_22400|C5N07_06355|C9114_10810|CI641_007220|CI694_13460|D9D44_21240|D9I18_10890|D9J52_13715|DAH37_01130|DJ503_10155|E2134_07940|E4K60_10440|E4K61_14940|E5S44_07560|EA213_04380|EAI52_16505|EC3234A_49C00050|ECTO6_01026|EI021_14360|ERL57_14525|EXX71_16045|EYD11_05005|EYV18_15060|F0L67_06605|F6T51_17120|FRV13_23100|G5632_02780|G5688_09960|GKF39_10605|GKF74_07985|GKF86_10005|GKF89_09600|GP650_02660|GP666_07615|GP935_07185|GQE34_06455|GQM17_04820|GRW05_08565|GRW80_15280|HLU13_14075|HMQ05_14495|HNC88_14400|HV188_18945|HVV53_11445|HVX22_04780|HVX33_18865|HVX96_19415|HVY79_18380|HVZ24_04565|HVZ44_04575|HX136_04845|NCTC11022_02903|NCTC13216_00866|NCTC9117_01550|NCTC9706_03254|PGD_04287|RG28_07470|SAMEA3472080_03114|SAMEA3752559_02953|SAMEA3753300_01149|WP2S18E08_10820|WP7S17E04_08850				31907455:0114:LC
A0A024LB08	P07648	RECB_1	RECC	AUQ13_17740|BANRA_01341|BANRA_04284|BHS81_16925|BMA87_18895|BUE81_06765|BVCMS2454_02089|BVCMSHHP001_01116|BVCMSHHP056_02020|BVCMSSINP011_00475|BVCMSSIP044_01651|C5F73_22400|C5N07_06355|C9114_10810|CI641_007220|CI694_13460|D9D44_21240|D9I18_10890|D9J52_13715|DAH37_01130|DJ503_10155|E2134_07940|E4K60_10440|E4K61_14940|E5S44_07560|EA213_04380|EAI52_16505|EC3234A_49C00050|ECTO6_01026|EI021_14360|ERL57_14525|EXX71_16045|EYD11_05005|EYV18_15060|F0L67_06605|F6T51_17120|FRV13_23100|G5632_02780|G5688_09960|GKF39_10605|GKF74_07985|GKF86_10005|GKF89_09600|GP650_02660|GP666_07615|GP935_07185|GQE34_06455|GQM17_04820|GRW05_08565|GRW80_15280|HLU13_14075|HMQ05_14495|HNC88_14400|HV188_18945|HVV53_11445|HVX22_04780|HVX33_18865|HVX96_19415|HVY79_18380|HVZ24_04565|HVZ44_04575|HX136_04845|NCTC11022_02903|NCTC13216_00866|NCTC9117_01550|NCTC9706_03254|PGD_04287|RG28_07470|SAMEA3472080_03114|SAMEA3752559_02953|SAMEA3753300_01149|WP2S18E08_10820|WP7S17E04_08850				31907455:0114:LC
A0A066Q5Q8	A0A066Q5Q8	GARR_3	GARR_3	A6V01_25390|A8C65_00150|AUQ13_20575|AUS26_20040|BANRA_02548|BANRA_03067|BHS81_23180|BMA87_07170|BOH76_03525|BUE81_09905|BVCMS12BK_03464|BVCMS2454_03851|BVCMSOUP014_01268|BVCMSSIP019_01210|BVCMSSIP044_01085|C2U48_13500|C5F72_26350|C5F73_25705|C5N07_19050|C5P01_22840|C9114_18000|C9306_20980|CA593_06580|CI641_012765|COD30_17900|CV83915_02180|D0X26_17330|D3821_15280|D5H35_19460|D6004_19490|D9610_18560|D9D44_19155|D9I97_17995|D9J11_11940|D9J52_14870|DEN89_22125|DIV22_13840|DJ503_17295|DL530_18320|DL800_27080|DM155_19330|DOT59_16480|DS143_11290|DT034_13215|DXT73_14370|E2119_19055|E2855_04886|E2863_04195|E4K53_12655|E4K55_12660|EAI42_02715|EAI52_23825|EAM59_22590|EBM08_16860|EC1094V2_4430|EC3234A_72C00280|EC95NR1_03333|ED600_18125|EEP23_19010|EG599_20815|EH412_20975|EHD79_17925|EHJ36_14445|EI041_11815|EKI52_16085|EL75_4302|EL79_4554|EL80_4461|ETECE36_05526|EYD11_22365|EYV18_08470|F0L67_20600|F6T51_08930|F7F23_21840|F7F26_23330|F9X20_005180|F9X20_05225|FPI65_23875|FV293_13855|G5668_20495|G5670_21500|G5680_21125|G9P49_21570|GHD50_19015|GKF39_13925|GKF74_15665|GKF86_13765|GKF89_07375|GQE33_20780|GQE64_14245|GQE87_08910|GRW05_20130|GRW30_12010|GUB85_19475|GUB91_20140|GUB95_21170|GUC01_22055|GUC12_20770|H4P50_25210|H4P51_25055|HFD31_003998|HFD39_003959|HFD59_004080|HFD69_004262|HH707_002517|HIQ82_003550|HLQ75_19240|HLQ92_20505|HLT96_10530|HLU13_07355|HMG20_18010|HMG24_14415|HMG27_19635|HMG35_20050|HMQ05_06795|HNN86_06570|HV065_19045|HV149_23115|HVV38_15425|HVX22_22615|HVY79_24065|HX136_24150|HZT35_16925|NCTC10090_02897|NCTC10865_06042|NCTC13216_01994|NCTC8500_05456|NCTC8960_02460|NCTC9045_05673|NCTC9058_02032|NCTC9062_03294|NCTC9706_02118|RK56_017955|SAMEA3484427_03349|SAMEA3484429_03464|SAMEA3752557_02792|SAMEA3752559_05062|SAMEA3753300_04042|WP2S18E08_46610|WP7S17E04_42510|WQ89_24850	A6V01_25390|A8C65_00150|AUQ13_20575|AUS26_20040|BANRA_02548|BANRA_03067|BHS81_23180|BMA87_07170|BOH76_03525|BUE81_09905|BVCMS12BK_03464|BVCMS2454_03851|BVCMSOUP014_01268|BVCMSSIP019_01210|BVCMSSIP044_01085|C2U48_13500|C5F72_26350|C5F73_25705|C5N07_19050|C5P01_22840|C9114_18000|C9306_20980|CA593_06580|CI641_012765|COD30_17900|CV83915_02180|D0X26_17330|D3821_15280|D5H35_19460|D6004_19490|D9610_18560|D9D44_19155|D9I97_17995|D9J11_11940|D9J52_14870|DEN89_22125|DIV22_13840|DJ503_17295|DL530_18320|DL800_27080|DM155_19330|DOT59_16480|DS143_11290|DT034_13215|DXT73_14370|E2119_19055|E2855_04886|E2863_04195|E4K53_12655|E4K55_12660|EAI42_02715|EAI52_23825|EAM59_22590|EBM08_16860|EC1094V2_4430|EC3234A_72C00280|EC95NR1_03333|ED600_18125|EEP23_19010|EG599_20815|EH412_20975|EHD79_17925|EHJ36_14445|EI041_11815|EKI52_16085|EL75_4302|EL79_4554|EL80_4461|ETECE36_05526|EYD11_22365|EYV18_08470|F0L67_20600|F6T51_08930|F7F23_21840|F7F26_23330|F9X20_005180|F9X20_05225|FPI65_23875|FV293_13855|G5668_20495|G5670_21500|G5680_21125|G9P49_21570|GHD50_19015|GKF39_13925|GKF74_15665|GKF86_13765|GKF89_07375|GQE33_20780|GQE64_14245|GQE87_08910|GRW05_20130|GRW30_12010|GUB85_19475|GUB91_20140|GUB95_21170|GUC01_22055|GUC12_20770|H4P50_25210|H4P51_25055|HFD31_003998|HFD39_003959|HFD59_004080|HFD69_004262|HH707_002517|HIQ82_003550|HLQ75_19240|HLQ92_20505|HLT96_10530|HLU13_07355|HMG20_18010|HMG24_14415|HMG27_19635|HMG35_20050|HMQ05_06795|HNN86_06570|HV065_19045|HV149_23115|HVV38_15425|HVX22_22615|HVY79_24065|HX136_24150|HZT35_16925|NCTC10090_02897|NCTC10865_06042|NCTC13216_01994|NCTC8500_05456|NCTC8960_02460|NCTC9045_05673|NCTC9058_02032|NCTC9062_03294|NCTC9706_02118|RK56_017955|SAMEA3484427_03349|SAMEA3484429_03464|SAMEA3752557_02792|SAMEA3752559_05062|SAMEA3753300_04042|WP2S18E08_46610|WP7S17E04_42510|WQ89_24850			PDB_6SM7:0114:LC
A0A069C8B3	P21866	KDBD	KDPE	AML35_19290|BHF03_19490|BK383_18195|BON65_21695|C5P44_02760|CDC27_02720|CI693_19675|D2188_15845|D9H70_02790|D9J60_00745|DND16_04115|DTL90_04085|DU321_01600|E0L12_19665|EA174_16735|EA184_07355|EA211_21640|EA233_04400|EC382_20775|EIA21_11550|ELT17_02590|EO241_08335|EXX06_11290|EXX23_12490|EXX53_15910|EXX55_10750|EXX87_15770|FV250_05970|G9P50_14895|GIY13_19745|GKE29_06570|GKE58_18360|GKE60_10635|GKE79_16290|GKE87_12505|GNZ02_12425|HHJ51_03290|HIQ74_000484|HIZ44_002651|HJI79_000906|HJM89_000685|HJN45_000780|HJR58_001078|HJT90_000435|HJU54_002910|HLU98_16365|HLY53_08285|HMPREF3040_04620|HNC59_02770|HNC99_07105|HNY58_09565|HVV73_16325|HVW43_08905|HVW76_15555|HVZ53_16995|HWQ66_21580|NCTC9119_03628|SAMEA3472056_00110|WP7S17E01_33650				PDB_6LGQ:0114:LC
A0A085P4P2	P03959	A0A085P4P2	KDPA					28636601:0114:LC
A0A085P4P2	P03960	A0A085P4P2	KDPB					28636601:0114:LC
A0A0A6YVN8	A0A0A6YVN8	A0A0A6YVN8	A0A0A6YVN8	D-TAGATOSE|3-EPIMERASE	D-TAGATOSE|3-EPIMERASE			25655925:0114:LC
A0A0B0W5A7	Q1RPM1	A0A0B0W5A7	Q1RPM1	BVCMSKSNP073_04960|BVCMSKSNP081_01191|BVCMSKSP026_03318|BVCMSSIP044_02899|C7B06_23650|C7B07_24190|D4023_00025|D4U85_25120|DAH30_22365|DOY61_27625|DP258_25290|DT034_24035|F7F11_09685|GRW30_26355|HNC80_25005|SAMEA3484434_04980	ECO1013			PDB_5T86:0114:LC
